timestamp,x_position,y_position,violet,indigo,blue,cyan,green,yellow,orange,red
2025-10-01 12:15:59,9.5,-4.0,1250,6429,8611,10175,14384,13758,15095,8908
2025-10-01 12:16:01,9.5,-3.875,1252,6431,8614,10175,14391,13761,15096,8908
2025-10-01 12:16:03,9.5,-3.75,1253,6428,8612,10166,14398,13756,15095,8905
2025-10-01 12:16:04,9.5,-3.625,1254,6426,8610,10163,14393,13751,15092,8897
2025-10-01 12:16:06,9.5,-3.5,1254,6428,8614,10159,14389,13741,15096,8890
2025-10-01 12:16:08,9.5,-3.375,1254,6427,8613,10156,14385,13737,15091,8888
2025-10-01 12:16:10,9.5,-3.25,1254,6428,8607,10158,14392,13742,15092,8886
2025-10-01 12:16:12,9.5,-3.125,1255,6428,8609,10157,14398,13745,15095,8890
2025-10-01 12:16:14,9.5,-3.0,1255,6427,8611,10158,14402,13748,15098,8890
2025-10-01 12:16:16,9.5,-2.875,1256,6433,8619,10166,14416,13763,15108,8897
2025-10-01 12:16:18,9.5,-2.75,1258,6439,8629,10175,14427,13775,15118,8903
2025-10-01 12:16:20,9.5,-2.625,1260,6455,8654,10202,14450,13801,15148,8921
2025-10-01 12:16:22,9.5,-2.5,1262,6468,8673,10221,14468,13825,15170,8937
2025-10-01 12:16:23,9.5,-2.375,1264,6479,8683,10238,14490,13851,15197,8952
2025-10-01 12:16:25,9.5,-2.25,1264,6495,8698,10264,14515,13874,15220,8967
2025-10-01 12:16:27,9.5,-2.125,1268,6516,8723,10297,14557,13906,15262,8997
2025-10-01 12:16:29,9.5,-2.0,1269,6536,8746,10331,14600,13943,15304,9022
2025-10-01 12:16:31,9.5,-1.875,1271,6555,8770,10363,14638,13973,15341,9048
2025-10-01 12:16:33,9.5,-1.75,1273,6572,8792,10382,14658,13997,15368,9057
2025-10-01 12:16:35,9.5,-1.625,1275,6586,8812,10402,14681,14029,15398,9074
2025-10-01 12:16:37,9.5,-1.5,1276,6601,8832,10422,14701,14050,15421,9087
2025-10-01 12:16:39,9.5,-1.375,1278,6611,8844,10441,14727,14075,15447,9104
